name_a,name_b,similarity,type,datasets_a,datasets_b,adds_new_connection
cheezit,cheezits,1.0,plural,6,5,True
cucumberslice,cucumberslices,1.0,plural,1,3,True
cupcake,cupcakes,1.0,plural,2,5,True
diffuser,diffusers,1.0,plural,6,1,True
dumpling,dumplings,1.0,plural,8,1,True
egg,eggs,1.0,plural,2,1,True
friedegg,friedeggs,1.0,plural,1,3,True
granolabar,granolabars,1.0,plural,11,3,True
marshmallow,marshmallows,1.0,plural,8,3,True
mmspeanut,mmspeanuts,1.0,plural,3,6,True
nectarine,nectarines,1.0,plural,1,1,True
pillow,pillows,1.0,plural,3,6,True
poptart,poptarts,1.0,plural,1,2,True
reesespeanutbuttercup,reesespeanutbuttercups,1.0,plural,7,2,True
resistanceband,resistancebands,1.0,plural,2,7,True
speaker,speakers,1.0,plural,5,1,True
springonion,springonions,1.0,plural,1,1,True
taco,tacos,1.0,plural,1,2,True
babybelcheesewithcrackers,babybellcheesewithcrackers,0.98,fuzzy,1,1,True
attachablephonelens,attachablephonelens3,0.974,fuzzy,2,1,True
luckycharmswith1milk,luckycharmswithmilk,0.974,fuzzy,1,1,True
lifesavergummies,lifesaversgummies,0.97,fuzzy,4,6,True
skittleswildberry,skittlewildberry,0.97,fuzzy,5,6,True
mozarellasticks,mozzarellasticks,0.968,fuzzy,1,1,True
brusselsprouts,brusselssprouts,0.966,fuzzy,1,9,True
chickennuggets,chickennuggets2,0.966,fuzzy,10,1,True
chocolatdonuts,chocolatedonuts,0.966,fuzzy,1,3,True
ghiradellimilk,ghirardellimilk,0.966,fuzzy,4,1,True
giantsweetarts,giantsweettarts,0.966,fuzzy,5,3,True
hersheykisses,hersheyskisses,0.963,fuzzy,3,1,True
stainremover,stainremover3,0.96,fuzzy,2,1,True
strawberriers,strawberries,0.96,fuzzy,1,13,True
reesepieces,reesespieces,0.957,fuzzy,1,11,True
wineglasses,wineglasses6,0.957,fuzzy,6,1,True
toothpaste,toothpaste6,0.952,fuzzy,2,1,True
cantaloup,cantaloupe,0.947,fuzzy,1,10,True
cornonacob,cornoncob,0.947,fuzzy,1,1,True
malteasers,maltesers,0.947,fuzzy,1,2,True
chocolatemuffin,chocolatemuffines,0.938,fuzzy,1,1,True
glasses,glasses4,0.933,fuzzy,2,1,True
macaron,macaroon,0.933,fuzzy,1,8,True
brusselsprouts,brusselssprout,0.929,fuzzy,1,1,True
chocolatedonuts,chocolatenuts,0.929,fuzzy,3,1,True
curvedglasses,curvedglasses16,0.929,fuzzy,1,1,True
roastedpotato,roastedpotatoes,0.929,fuzzy,2,1,True
broccoliandcauliflower,broccolicauliflower,0.927,fuzzy,1,1,True
broccolicauliflower,broccolicauliflowerraw,0.927,fuzzy,1,1,True
celeryandcarrotsticks,celerycarrotsticks,0.923,fuzzy,2,1,True
