stimulus_image,product_read_from_packaging,item_name
1.jpg,Albert Heijn roomboter gevulde koek,almondfilledcake
2.jpg,Balisto muesli,balisto
3.jpg,Bounty,bounty
4.jpg,Cote d'Or BonBonBloc praline melk,cotedorpralinemilk
5.jpg,Cote d'Or BonBonBloc praline wit,cotedorpralinewhite
6.jpg,De Lekkerste appelkoek,applecake
7.jpg,Dove Caramel Liaison,dovecaramelmilkchocolate
8.jpg,Kanjers choco caramelwafel,chocolatecaramelwafer
9.jpg,Kanjers stroopwafel,stroopwafel
10.jpg,Kinder Bueno,kinderbueno
11.jpg,Kinder Bueno White,kinderbuenowhite
12.jpg,Kinder Maxi,kindermaxi
13.jpg,KitKat Chunky,kitkatchunky
14.jpg,KitKat Chunky White,kitkatchunkywhite
15.jpg,KitKat,kitkat
16.jpg,Lion,lion
17.jpg,Maltesers,maltesers
18.jpg,Mars,mars
19.jpg,Milka Crispello,milkacrispello
20.jpg,Milka Daim,milkadaim
21.jpg,Milky Way,milkyway
22.jpg,M&M's Peanut,mmspeanuts
23.jpg,Nestle Bros,nestlebros
24.jpg,Nestle Crunch,nestlecrunch
25.jpg,Nestle Nuts,nestlenuts
26.jpg,Rolo,nestlerolo
27.jpg,Smarties,smarties
28.jpg,Oreo,oreos
29.jpg,Ritter Sport whole hazelnut,rittersportmilkhazelnut
30.jpg,Snickers,snickers
31.jpg,Twix,twix
32.jpg,Verkade Nizza kaneel,cinnamonbiscuit
33.jpg,Werther's Original,werthersoriginal
34.jpg,Sultana Yofruit aardbei,sultanayofruitstrawberry
35.jpg,B'tween Big hazelnoot,btweenhazelnutbar
36.jpg,Albert Heijn sweet & soft cake,cakeslice
37.jpg,Albert Heijn roze fondantkoek,pinkfondantbiscuit
38.jpg,Peijnenburg Dubbel Lekker cappuccino,cappuccinoontbijtkoek
39.jpg,Venco Tikkels drop,tikkelsdrop
40.jpg,Skittles Tropical,skittlestropical
41.jpg,Autodrop Cadillacs,autodropcadillacs
42.jpg,Venco Schoolkrijt,schoolkrijtdrop
43.jpg,Venco Engelse drop,engelsedrop
44.jpg,Red Band drop-fruit duo,redbanddropfruitduo
45.jpg,Red Band cola flesjes,redbandcolabottles
46.jpg,Autodrop Total Loss,autodroptotalloss
47.jpg,Oosterhoutse kaneelstokjes,kaneelstokjes
48.jpg,Pringles Hot & Spicy,pringleshotandspicy
49.jpg,De Lekkerste suikerwafel,sugarwaffle
50.jpg,Haribo perziken,haribopeaches
51.jpg,Haribo kersen,haribocherries
52.jpg,Snack a Jacks cheese,snackajackscheese
53.jpg,Bolletje pinda pepsels,peanutsticks
54.jpg,TUC Mini Bites,tucminibites
55.jpg,LU Mikado milk chocolate,mikado
56.jpg,Lay's Naturel,laysclassic
57.jpg,Smiths Hamka's mini,hamkas
58.jpg,Smiths Bugles nacho cheese,buglesnachocheese
59.jpg,Smiths Nibb-it sticks,nibbitsticks
60.jpg,Smiths Wokkels paprika,wokkelspaprika
