subject_id,image_number,rating
10,47,1.28
10,10,0.63
10,31,1.15
10,7,0.0
10,5,1.28
10,40,1.05
10,44,1.85
10,26,0.35
10,24,1.09
10,11,0.56
10,37,1.32
10,9,1.25
10,8,0.76
10,54,0.95
10,20,1.5
10,16,1.36
10,49,0.0
10,39,0.0
11,37,0.0
11,49,0.0
11,24,0.46
11,47,0.0
11,40,0.0
11,5,0.0
11,11,0.72
11,26,0.0
11,20,1.14
11,54,0.18
11,44,0.44
11,39,0.01
11,7,0.22
11,8,0.45
11,16,0.01
11,10,0.58
11,31,1.36
11,9,0.37
12,26,0.1
12,47,0.02
12,9,0.45
12,10,1.74
12,16,1.01
12,44,1.68
12,8,0.37
12,37,0.0
12,5,0.13
12,11,0.07
12,54,0.71
12,49,0.02
12,39,0.0
12,24,0.09
12,31,0.9
12,7,0.0
12,20,1.47
12,40,0.19
13,40,1.1
13,26,1.34
13,20,0.83
13,5,0.0
13,54,1.11
13,47,0.6
13,31,1.08
13,8,0.0
13,44,0.17
13,49,0.0
13,9,0.6
13,39,0.0
13,24,0.73
13,7,1.37
13,16,0.0
13,11,0.34
13,10,1.3
13,37,1.3
14,20,1.11
14,31,0.77
14,24,1.9
14,8,1.66
14,39,1.94
14,16,1.1
14,5,1.03
14,9,1.15
14,40,0.17
14,49,1.98
14,44,1.07
14,54,0.55
14,26,2.0
14,11,0.09
14,10,0.62
14,47,1.45
14,37,1.65
14,7,0.76
15,31,1.31
15,11,0.0
15,5,0.86
15,8,0.0
15,24,1.94
15,40,1.11
15,49,0.0
15,9,0.09
15,20,1.23
15,10,1.32
15,54,1.41
15,7,0.0
15,47,0.72
15,39,0.0
15,16,0.36
15,44,1.17
15,37,0.63
15,26,0.0
16,39,0.64
16,10,0.12
16,54,0.0
16,49,0.0
16,31,0.95
16,7,0.22
16,20,0.44
16,11,0.35
16,26,0.0
16,40,0.18
16,8,1.09
16,47,1.06
16,24,0.0
16,9,0.05
16,44,0.0
16,5,0.0
16,16,0.0
16,37,0.09
17,54,0.0
17,47,1.66
17,39,0.0
17,49,0.86
17,37,1.07
17,40,0.11
17,8,1.11
17,44,1.13
17,9,0.84
17,24,0.42
17,31,0.14
17,7,0.17
17,5,1.05
17,20,1.1
17,11,0.52
17,26,1.48
17,16,0.3
17,10,0.53
18,40,0.67
18,31,1.75
18,5,1.2
18,49,0.31
18,37,1.45
18,9,1.37
18,20,1.74
18,26,0.21
18,47,1.14
18,39,0.18
18,7,0.34
18,24,1.49
18,8,1.08
18,16,0.56
18,44,1.12
18,54,1.11
18,11,1.07
18,10,1.9
19,49,0.36
19,39,0.0
19,40,0.0
19,8,0.0
19,26,0.0
19,20,1.25
19,9,0.65
19,44,0.16
19,24,0.28
19,37,0.12
19,5,0.57
19,54,1.0
19,47,0.19
19,31,1.84
19,10,2.0
19,11,0.0
19,7,0.0
19,16,0.41
1,16,0.82
1,7,2.0
1,31,0.52
1,47,0.0
1,5,0.43
1,8,1.73
1,39,1.62
1,26,0.24
1,24,0.0
1,11,2.0
1,54,1.98
1,20,1.99
1,10,0.68
1,9,0.67
1,37,1.74
1,49,0.05
1,40,0.04
1,44,0.0
20,11,0.23
20,5,0.22
20,39,0.0
20,8,0.01
20,49,0.0
20,24,0.84
20,16,0.0
20,40,0.01
20,54,0.0
20,26,0.01
20,31,1.11
20,47,0.35
20,20,0.0
20,10,0.13
20,7,0.0
20,44,0.0
20,9,0.0
20,37,1.95
21,10,1.45
21,37,1.15
21,9,0.82
21,49,0.62
21,39,0.37
21,7,1.35
21,26,0.43
21,20,0.93
21,24,0.74
21,47,1.66
21,40,0.76
21,11,0.89
21,8,1.11
21,44,1.07
21,5,1.26
21,16,0.89
21,54,0.53
21,31,0.87
22,7,0.0
22,40,1.0
22,54,1.29
22,8,0.0
22,44,0.95
22,20,1.25
22,5,0.69
22,10,1.19
22,26,0.0
22,9,0.79
22,11,0.0
22,49,0.0
22,39,0.0
22,16,0.6
22,31,1.43
22,47,0.66
22,24,1.27
22,37,0.85
23,7,0.77
23,26,0.53
23,24,1.31
23,11,0.45
23,54,0.9
23,16,0.79
23,39,1.24
23,31,1.53
23,10,1.06
