subject_id,item_name,rating,timepoint
100,winegum,0.91,1
100,colabottles,1.76,1
100,sourapplerings,1.2,1
100,blacklicoricewheels,0.48,1
100,rainbowsourbelts,1.4,1
100,nerds,1.19,1
100,liquoriceallsorts,1.44,1
100,lonkasoftnougat,1.8,1
100,napoleon,1.91,1
100,foambananas,1.61,1
100,watermelongumballs,0.78,1
100,marshmallows,1.53,1
100,werthersoriginal,1.65,1
100,peanutmms,1.68,1
100,gummyfriedeggs,0.66,1
100,gummylips,1.36,1
100,gummyseashells,1.33,1
100,gummypeaches,1.34,1
100,chocolatecoins,0.67,1
100,sourstrawberrysticks,1.34,1
100,sourstrawberrybelts,1.58,1
100,gummystrawberries,1.29,1
100,gummysmurfs,0.82,1
100,saltliquoricepretzels,0.8,1
100,redgummyfish,1.42,1
100,gummibears,1.35,1
100,sourwatermelonslices,0.72,1
100,gummycherries,1.2,1
100,yogurtraisins,1.38,1
100,jellybeans,1.14,1
100,sugarhearts,1.74,1
100,nutscoveredinchocolate,1.42,1
100,gummyhearts,1.37,1
100,chocolatepeanutclusters,1.56,1
100,gummysharks,1.5,1
100,gummyberries,1.49,1
100,candynecklace,1.51,1
100,foampigs,1.55,1
100,liquoricetwists,0.87,1
100,chokotoff,1.7,1
100,smarties,1.61,1
100,jellycandies,1.32,1
102,sugarhearts,0.41,1
102,jellycandies,0.85,1
102,jellybeans,1.14,1
102,lonkasoftnougat,0.51,1
102,gummibears,1.27,1
102,watermelongumballs,1.19,1
102,gummyfriedeggs,0.47,1
102,chokotoff,0.49,1
102,napoleon,1.25,1
102,foambananas,1.1,1
102,gummystrawberries,1.27,1
102,gummyhearts,0.81,1
102,colabottles,1.19,1
102,winegum,1.26,1
102,nutscoveredinchocolate,0.89,1
102,foampigs,1.3,1
102,smarties,0.94,1
102,sourstrawberrybelts,1.21,1
102,marshmallows,0.62,1
102,gummylips,1.17,1
102,chocolatecoins,1.47,1
102,yogurtraisins,0.18,1
102,nerds,1.39,1
102,gummypeaches,1.46,1
102,redgummyfish,1.4,1
102,gummyseashells,1.27,1
102,gummycherries,1.51,1
102,rainbowsourbelts,1.14,1
102,candynecklace,1.34,1
102,sourapplerings,0.86,1
102,werthersoriginal,0.58,1
102,saltliquoricepretzels,1.34,1
102,liquoriceallsorts,1.27,1
102,blacklicoricewheels,0.93,1
102,gummysmurfs,1.59,1
102,liquoricetwists,0.61,1
102,chocolatepeanutclusters,0.53,1
102,sourstrawberrysticks,1.19,1
102,gummyberries,1.58,1
102,peanutmms,0.82,1
102,gummysharks,1.18,1
