german_name,codebook_english_gloss,food_pics_english,item_name
Apfel,Apple,apple,apple
Banane,Banana,banana,banana
Brie,Brie,brie cheese,briecheese
Burger,Burger,burger,burger
Champignon,Mushrooms,mushrooms,mushrooms
Erdnuesse,Peanuts,peanuts,peanuts
Essiggurke,Gherkin,gherkin,gherkin
Karotte,Carrot,carrot,carrot
Knaeckebrot,Crispbread,crispbread,crispbread
Kohlrabi,Kohlrabi,kohlrabi,kohlrabi
Muffin,Muffin,muffin,muffin
Pizza,Pizza,pizza,pizza
Salat,Lettuce,lettuce,lettuce
Schaumkuesse,Chocolate Marshmallow,chocolate-covered marshmallow,chocolatecoveredmarshmallow
Schokolade,Chocolate,chocolate,chocolate
Stapelchips,Chips,chips,chips
Tomate,Tomato,tomato,tomato
Wuerstchen,Sausage,sausage,sausage
