subject_id,item_name,rating
s1,orange,87
s1,plum,83
s1,blackberry,77
s1,peach,84
s1,cherry,86
s1,raspberry,64
s1,apple,90
s1,grape,86
s1,goldendeliciousapple,67
s1,honeydewmelon,18
s1,kiwi,34
s1,greenbellpepper,84
s1,carrot,13
s1,peanuts,37
s1,almonds,58
s1,baguette,74
s1,slicedloafbread,60
s1,boulebread,37
s1,ryebread,70
s1,deliturkey,87
s1,chickentenders,89
s1,meatballs,70
s1,gouda,72
s1,swisscheese,78
s1,potatochips,69
s1,tortillachips,59
s1,doritos,62
s1,ritzcracker,68
s1,saltinecracker,57
s1,wheatthins,69
s1,eggrolls,64
s1,frenchfries,36
s1,butteredpopcorn,76
s1,triscuits,44
s1,wavylays,82
s1,chocolateicecreamcone,96
s1,strawberryicecreamcone,97
s1,vanillasoftservecone,97
s1,nutrigrainbar,72
s1,churro,64
s1,twistdonut,73
s1,tuilecookie,70
s1,madeleine,66
s1,oatmealraisincookie,90
s1,thumprintcookie,75
s1,sugarcookie,74
s1,vanillawafer,77
s1,chocolatewafer,79
s1,chocolatebark,74
s1,darkchocolate,77
s1,milkchocolate,76
s1,pocky,29
s1,toblerone,73
s1,lindtlindorchocolatetruffle,62
s1,twix,71
s1,caramel,75
s1,peanutmms,85
s1,brownie,88
s1,frostedbrownie,81
s1,lemoncake,90
s2,orange,56
s2,plum,62
s2,blackberry,38
s2,peach,80
s2,cherry,80
s2,raspberry,46
s2,apple,78
s2,grape,70
s2,goldendeliciousapple,74
s2,honeydewmelon,79
s2,kiwi,58
s2,greenbellpepper,6
s2,carrot,45
s2,peanuts,57
s2,almonds,77
s2,baguette,17
s2,slicedloafbread,36
s2,boulebread,34
s2,ryebread,37
s2,deliturkey,87
s2,chickentenders,90
s2,meatballs,56
s2,gouda,37
s2,swisscheese,66
s2,potatochips,25
s2,tortillachips,39
s2,doritos,24
s2,ritzcracker,39
s2,saltinecracker,34
s2,wheatthins,36
s2,eggrolls,67
s2,frenchfries,25
s2,butteredpopcorn,12
s2,triscuits,55
s2,wavylays,38
s2,chocolateicecreamcone,37
s2,strawberryicecreamcone,23
s2,vanillasoftservecone,34
s2,nutrigrainbar,82
s2,churro,64
s2,twistdonut,30
s2,tuilecookie,66
s2,madeleine,63
s2,oatmealraisincookie,73
s2,thumprintcookie,63
s2,sugarcookie,56
s2,vanillawafer,63
s2,chocolatewafer,74
s2,chocolatebark,56
s2,darkchocolate,79
s2,milkchocolate,74
s2,pocky,74
s2,toblerone,79
s2,lindtlindorchocolatetruffle,73
s2,twix,72
s2,caramel,10
s2,peanutmms,56
s2,brownie,75
s2,frostedbrownie,79
s2,lemoncake,68
s3,orange,74
s3,plum,92
s3,blackberry,96
s3,peach,97
s3,cherry,82
s3,raspberry,1
s3,apple,84
s3,grape,90
s3,goldendeliciousapple,67
s3,honeydewmelon,1
s3,kiwi,67
s3,greenbellpepper,63
s3,carrot,61
s3,peanuts,1
s3,almonds,52
s3,baguette,57
s3,slicedloafbread,23
s3,boulebread,55
s3,ryebread,74
s3,deliturkey,85
s3,chickentenders,83
s3,meatballs,56
s3,gouda,64
s3,swisscheese,42
s3,potatochips,8
s3,tortillachips,1
s3,doritos,1
s3,ritzcracker,1
s3,saltinecracker,47
s3,wheatthins,1
s3,eggrolls,22
s3,frenchfries,1
s3,butteredpopcorn,61
s3,triscuits,52
s3,wavylays,37
s3,chocolateicecreamcone,25
s3,strawberryicecreamcone,1
s3,vanillasoftservecone,54
s3,nutrigrainbar,72
s3,churro,81
s3,twistdonut,52
s3,tuilecookie,59
s3,madeleine,54
s3,oatmealraisincookie,83
s3,thumprintcookie,53
s3,sugarcookie,53
s3,vanillawafer,80
s3,chocolatewafer,89
s3,chocolatebark,58
s3,darkchocolate,63
s3,milkchocolate,2
s3,pocky,67
s3,toblerone,76
s3,lindtlindorchocolatetruffle,79
s3,twix,65
s3,caramel,56
s3,peanutmms,73
s3,brownie,65
s3,frostedbrownie,76
s3,lemoncake,54
s4,orange,91
s4,plum,87
s4,blackberry,83
s4,peach,76
s4,cherry,62
s4,raspberry,76
s4,apple,90
s4,grape,85
s4,goldendeliciousapple,53
s4,honeydewmelon,21
s4,kiwi,1
s4,greenbellpepper,3
s4,carrot,63
s4,peanuts,56
s4,almonds,70
s4,baguette,43
s4,slicedloafbread,45
s4,boulebread,46
s4,ryebread,28
s4,deliturkey,57
s4,chickentenders,81
s4,meatballs,26
s4,gouda,26
s4,swisscheese,61
s4,potatochips,63
s4,tortillachips,80
s4,doritos,85
s4,ritzcracker,53
s4,saltinecracker,53
s4,wheatthins,45
s4,eggrolls,36
s4,frenchfries,80
s4,butteredpopcorn,61
s4,triscuits,39
s4,wavylays,66
s4,chocolateicecreamcone,98
s4,strawberryicecreamcone,99
s4,vanillasoftservecone,96
s4,nutrigrainbar,20
s4,churro,79
s4,twistdonut,66
s4,tuilecookie,47
s4,madeleine,69
s4,oatmealraisincookie,85
s4,thumprintcookie,66
s4,sugarcookie,93
s4,vanillawafer,62
s4,chocolatewafer,62
s4,chocolatebark,55
s4,darkchocolate,84
s4,milkchocolate,99
s4,pocky,33
s4,toblerone,94
s4,lindtlindorchocolatetruffle,69
s4,twix,82
s4,caramel,29
s4,peanutmms,89
s4,brownie,99
s4,frostedbrownie,96
s4,lemoncake,88
s5,orange,97
s5,plum,1
s5,blackberry,1
s5,peach,1
s5,cherry,1
s5,raspberry,17
s5,apple,78
s5,grape,32
s5,goldendeliciousapple,32
s5,honeydewmelon,1
s5,kiwi,1
s5,greenbellpepper,54
s5,carrot,20
s5,peanuts,78
s5,almonds,100
s5,baguette,86
s5,slicedloafbread,82
s5,boulebread,84
s5,ryebread,90
s5,deliturkey,75
s5,chickentenders,100
s5,meatballs,59
s5,gouda,5
s5,swisscheese,35
s5,potatochips,71
s5,tortillachips,79
s5,doritos,100
s5,ritzcracker,65
s5,saltinecracker,75
s5,wheatthins,84
s5,eggrolls,60
s5,frenchfries,71
s5,butteredpopcorn,33
s5,triscuits,39
s5,wavylays,87
s5,chocolateicecreamcone,100
s5,strawberryicecreamcone,100
s5,vanillasoftservecone,100
s5,nutrigrainbar,24
s5,churro,62
s5,twistdonut,100
s5,tuilecookie,59
s5,madeleine,60
s5,oatmealraisincookie,11
s5,thumprintcookie,70
s5,sugarcookie,63
s5,vanillawafer,88
s5,chocolatewafer,98
s5,chocolatebark,63
s5,darkchocolate,53
s5,milkchocolate,61
s5,pocky,91
s5,toblerone,52
s5,lindtlindorchocolatetruffle,40
s5,twix,52
s5,caramel,31
s5,peanutmms,88
s5,brownie,100
s5,frostedbrownie,96
s5,lemoncake,100
s6,orange,91
s6,plum,42
s6,blackberry,25
s6,peach,86
s6,cherry,15
s6,raspberry,97
s6,apple,73
s6,grape,57
s6,goldendeliciousapple,71
s6,honeydewmelon,4
s6,kiwi,4
s6,greenbellpepper,75
s6,carrot,66
s6,peanuts,23
s6,almonds,31
s6,baguette,66
s6,slicedloafbread,71
s6,boulebread,81
s6,ryebread,76
s6,deliturkey,36
s6,chickentenders,68
s6,meatballs,1
s6,gouda,1
s6,swisscheese,78
s6,potatochips,82
s6,tortillachips,38
s6,doritos,31
s6,ritzcracker,34
s6,saltinecracker,30
s6,wheatthins,38
s6,eggrolls,63
s6,frenchfries,99
s6,butteredpopcorn,57
s6,triscuits,38
s6,wavylays,79
s6,chocolateicecreamcone,97
s6,strawberryicecreamcone,100
s6,vanillasoftservecone,100
s6,nutrigrainbar,28
s6,churro,78
s6,twistdonut,94
s6,tuilecookie,65
s6,madeleine,22
s6,oatmealraisincookie,62
s6,thumprintcookie,83
s6,sugarcookie,65
s6,vanillawafer,96
s6,chocolatewafer,91
s6,chocolatebark,92
s6,darkchocolate,85
s6,milkchocolate,92
s6,pocky,73
s6,toblerone,85
s6,lindtlindorchocolatetruffle,84
s6,twix,89
s6,caramel,93
s6,peanutmms,94
s6,brownie,94
s6,frostedbrownie,100
s6,lemoncake,93
s7,orange,95
s7,plum,86
s7,blackberry,98
s7,peach,83
s7,cherry,94
s7,raspberry,67
s7,apple,89
s7,grape,96
s7,goldendeliciousapple,74
s7,honeydewmelon,1
s7,kiwi,56
s7,greenbellpepper,31
s7,carrot,36
s7,peanuts,86
s7,almonds,64
s7,baguette,65
s7,slicedloafbread,73
s7,boulebread,26
s7,ryebread,47
s7,deliturkey,71
s7,chickentenders,59
s7,meatballs,73
s7,gouda,86
s7,swisscheese,98
s7,potatochips,82
s7,tortillachips,58
s7,doritos,58
s7,ritzcracker,83
s7,saltinecracker,25
s7,wheatthins,80
s7,eggrolls,83
s7,frenchfries,83
s7,butteredpopcorn,65
s7,triscuits,17
s7,wavylays,60
s7,chocolateicecreamcone,92
s7,strawberryicecreamcone,94
s7,vanillasoftservecone,100
s7,nutrigrainbar,77
s7,churro,75
s7,twistdonut,81
s7,tuilecookie,57
s7,madeleine,29
s7,oatmealraisincookie,82
s7,thumprintcookie,58
s7,sugarcookie,84
s7,vanillawafer,67
s7,chocolatewafer,87
s7,chocolatebark,11
s7,darkchocolate,67
s7,milkchocolate,95
s7,pocky,60
s7,toblerone,75
s7,lindtlindorchocolatetruffle,80
s7,twix,83
s7,caramel,81
s7,peanutmms,68
s7,brownie,81
s7,frostedbrownie,94
s7,lemoncake,85
s8,orange,97
s8,plum,92
s8,blackberry,73
s8,peach,63
s8,cherry,98
s8,raspberry,84
s8,apple,82
s8,grape,78
s8,goldendeliciousapple,69
s8,honeydewmelon,69
s8,kiwi,70
s8,greenbellpepper,83
s8,carrot,62
s8,peanuts,95
s8,almonds,85
s8,baguette,89
s8,slicedloafbread,83
s8,boulebread,95
s8,ryebread,64
s8,deliturkey,79
s8,chickentenders,87
s8,meatballs,72
s8,gouda,81
s8,swisscheese,79
s8,potatochips,100
s8,tortillachips,82
s8,doritos,100
s8,ritzcracker,3
s8,saltinecracker,24
s8,wheatthins,11
s8,eggrolls,85
s8,frenchfries,62
s8,butteredpopcorn,42
s8,triscuits,14
s8,wavylays,75
s8,chocolateicecreamcone,98
s8,strawberryicecreamcone,55
s8,vanillasoftservecone,100
s8,nutrigrainbar,98
s8,churro,99
s8,twistdonut,77
s8,tuilecookie,75
s8,madeleine,88
s8,oatmealraisincookie,100
s8,thumprintcookie,75
s8,sugarcookie,67
s8,vanillawafer,89
s8,chocolatewafer,90
s8,chocolatebark,59
s8,darkchocolate,80
s8,milkchocolate,57
s8,pocky,62
s8,toblerone,63
s8,lindtlindorchocolatetruffle,90
s8,twix,97
s8,caramel,76
s8,peanutmms,93
s8,brownie,37
s8,frostedbrownie,73
s8,lemoncake,62
s9,orange,58
s9,plum,28
s9,blackberry,95
s9,peach,60
s9,cherry,90
s9,raspberry,90
s9,apple,79
s9,grape,70
s9,goldendeliciousapple,74
s9,honeydewmelon,1
s9,kiwi,58
s9,greenbellpepper,1
s9,carrot,1
s9,peanuts,7
s9,almonds,87
s9,baguette,1
s9,slicedloafbread,1
s9,boulebread,1
s9,ryebread,1
s9,deliturkey,1
s9,chickentenders,1
s9,meatballs,1
s9,gouda,83
s9,swisscheese,78
s9,potatochips,1
s9,tortillachips,1
s9,doritos,1
s9,ritzcracker,1
s9,saltinecracker,1
s9,wheatthins,1
s9,eggrolls,1
s9,frenchfries,1
s9,butteredpopcorn,66
s9,triscuits,1
s9,wavylays,1
s9,chocolateicecreamcone,1
s9,strawberryicecreamcone,1
s9,vanillasoftservecone,1
s9,nutrigrainbar,1
s9,churro,1
s9,twistdonut,1
s9,tuilecookie,1
s9,madeleine,1
s9,oatmealraisincookie,1
s9,thumprintcookie,61
s9,sugarcookie,1
s9,vanillawafer,1
s9,chocolatewafer,1
s9,chocolatebark,1
s9,darkchocolate,63
s9,milkchocolate,60
s9,pocky,1
s9,toblerone,29
s9,lindtlindorchocolatetruffle,60
s9,twix,1
s9,caramel,1
s9,peanutmms,1
s9,brownie,56
s9,frostedbrownie,63
s9,lemoncake,1
s10,orange,90
s10,plum,89
s10,blackberry,54
s10,peach,92
s10,cherry,63
s10,raspberry,33
s10,apple,72
s10,grape,93
s10,goldendeliciousapple,53
s10,honeydewmelon,72
s10,kiwi,63
s10,greenbellpepper,65
s10,carrot,73
s10,peanuts,3
s10,almonds,35
s10,baguette,1
s10,slicedloafbread,2
s10,boulebread,12
s10,ryebread,1
s10,deliturkey,41
s10,chickentenders,84
s10,meatballs,10
s10,gouda,3
s10,swisscheese,1
s10,potatochips,55
s10,tortillachips,79
s10,doritos,68
s10,ritzcracker,44
s10,saltinecracker,55
s10,wheatthins,86
s10,eggrolls,31
s10,frenchfries,98
s10,butteredpopcorn,61
s10,triscuits,69
s10,wavylays,66
s10,chocolateicecreamcone,1
s10,strawberryicecreamcone,1
s10,vanillasoftservecone,7
s10,nutrigrainbar,59
s10,churro,98
s10,twistdonut,30
s10,tuilecookie,11
s10,madeleine,52
s10,oatmealraisincookie,44
s10,thumprintcookie,57
s10,sugarcookie,57
s10,vanillawafer,84
s10,chocolatewafer,95
s10,chocolatebark,65
s10,darkchocolate,100
s10,milkchocolate,69
s10,pocky,26
s10,toblerone,96
s10,lindtlindorchocolatetruffle,66
s10,twix,34
s10,caramel,8
s10,peanutmms,96
s10,brownie,99
s10,frostedbrownie,87
s10,lemoncake,56
s11,orange,15
s11,plum,32
s11,blackberry,29
s11,peach,5
s11,cherry,8
s11,raspberry,21
s11,apple,59
s11,grape,8
s11,goldendeliciousapple,75
s11,honeydewmelon,7
s11,kiwi,20
s11,greenbellpepper,14
s11,carrot,5
s11,peanuts,72
s11,almonds,24
s11,baguette,65
s11,slicedloafbread,59
s11,boulebread,83
s11,ryebread,69
s11,deliturkey,84
s11,chickentenders,28
s11,meatballs,93
s11,gouda,74
s11,swisscheese,69
s11,potatochips,72
s11,tortillachips,82
s11,doritos,44
s11,ritzcracker,37
s11,saltinecracker,42
s11,wheatthins,54
s11,eggrolls,89
s11,frenchfries,57
s11,butteredpopcorn,38
s11,triscuits,72
s11,wavylays,59
s11,chocolateicecreamcone,17
s11,strawberryicecreamcone,54
s11,vanillasoftservecone,40
s11,nutrigrainbar,65
s11,churro,99
s11,twistdonut,56
s11,tuilecookie,44
s11,madeleine,40
s11,oatmealraisincookie,93
s11,thumprintcookie,76
s11,sugarcookie,32
s11,vanillawafer,68
s11,chocolatewafer,32
s11,chocolatebark,27
s11,darkchocolate,1
s11,milkchocolate,38
s11,pocky,82
s11,toblerone,75
s11,lindtlindorchocolatetruffle,24
s11,twix,71
s11,caramel,69
s11,peanutmms,63
s11,brownie,55
s11,frostedbrownie,41
s11,lemoncake,5
s12,orange,55
s12,plum,2
s12,blackberry,35
s12,peach,1
s12,cherry,19
s12,raspberry,24
s12,apple,60
s12,grape,55
s12,goldendeliciousapple,61
s12,honeydewmelon,1
s12,kiwi,19
s12,greenbellpepper,7
s12,carrot,1
s12,peanuts,17
s12,almonds,16
s12,baguette,60
s12,slicedloafbread,47
s12,boulebread,52
s12,ryebread,53
s12,deliturkey,54
s12,chickentenders,72
s12,meatballs,43
s12,gouda,17
s12,swisscheese,36
s12,potatochips,58
s12,tortillachips,59
s12,doritos,65
s12,ritzcracker,65
s12,saltinecracker,53
s12,wheatthins,53
s12,eggrolls,21
s12,frenchfries,58
s12,butteredpopcorn,53
s12,triscuits,52
s12,wavylays,51
s12,chocolateicecreamcone,45
s12,strawberryicecreamcone,39
s12,vanillasoftservecone,61
s12,nutrigrainbar,54
s12,churro,79
s12,twistdonut,54
s12,tuilecookie,50
s12,madeleine,53
s12,oatmealraisincookie,16
s12,thumprintcookie,41
s12,sugarcookie,67
s12,vanillawafer,72
s12,chocolatewafer,19
s12,chocolatebark,63
s12,darkchocolate,45
s12,milkchocolate,46
s12,pocky,43
s12,toblerone,65
s12,lindtlindorchocolatetruffle,34
s12,twix,58
s12,caramel,59
s12,peanutmms,57
s12,brownie,60
s12,frostedbrownie,61
s12,lemoncake,44
s13,orange,100
s13,plum,100
s13,blackberry,100
s13,peach,100
s13,cherry,100
s13,raspberry,98
s13,apple,100
s13,grape,100
s13,goldendeliciousapple,100
s13,honeydewmelon,1
s13,kiwi,47
s13,greenbellpepper,100
s13,carrot,100
s13,peanuts,100
s13,almonds,100
s13,baguette,1
s13,slicedloafbread,1
s13,boulebread,1
s13,ryebread,71
s13,deliturkey,100
s13,chickentenders,82
s13,meatballs,1
s13,gouda,1
s13,swisscheese,100
s13,potatochips,1
s13,tortillachips,61
s13,doritos,75
s13,ritzcracker,1
s13,saltinecracker,1
s13,wheatthins,63
s13,eggrolls,1
s13,frenchfries,62
s13,butteredpopcorn,1
s13,triscuits,1
s13,wavylays,81
s13,chocolateicecreamcone,1
s13,strawberryicecreamcone,1
s13,vanillasoftservecone,1
s13,nutrigrainbar,1
s13,churro,1
s13,twistdonut,1
s13,tuilecookie,1
s13,madeleine,2
s13,oatmealraisincookie,1
s13,thumprintcookie,1
s13,sugarcookie,1
s13,vanillawafer,1
s13,chocolatewafer,1
s13,chocolatebark,1
s13,darkchocolate,92
s13,milkchocolate,1
s13,pocky,1
s13,toblerone,1
s13,lindtlindorchocolatetruffle,1
s13,twix,6
s13,caramel,1
s13,peanutmms,1
s13,brownie,1
s13,frostedbrownie,1
s13,lemoncake,1
s14,orange,1
s14,plum,1
s14,blackberry,1
s14,peach,1
s14,cherry,54
s14,raspberry,1
s14,apple,20
s14,grape,42
s14,goldendeliciousapple,46
s14,honeydewmelon,1
s14,kiwi,7
s14,greenbellpepper,1
s14,carrot,1
s14,peanuts,1
s14,almonds,1
s14,baguette,64
s14,slicedloafbread,33
s14,boulebread,54
s14,ryebread,53
s14,deliturkey,1
