subject_id,item_name,rating,timepoint
MI301,apple,94.3,1
MI301,apple,90.3,2
MI301,celerysticks,10.2,1
MI301,celerysticks,9.9,2
MI301,chocolate,80.1,1
MI301,chocolate,90.2,2
MI301,donut,83.9,1
MI301,donut,84.2,2
MI301,driedfruit,0.2,1
MI301,driedfruit,0.3,2
MI301,frenchfries,94.1,1
MI301,frenchfries,91.4,2
MI301,nuts,80.1,1
MI301,nuts,69.9,2
MI301,potatochips,87.1,1
MI301,potatochips,89.8,2
MI304,apple,80.2,1
MI304,apple,45.2,2
MI304,celerysticks,80.3,1
MI304,celerysticks,60.4,2
MI304,chocolate,90.4,1
MI304,chocolate,90.1,2
MI304,donut,74.9,1
MI304,donut,64.7,2
MI304,driedfruit,40.2,1
MI304,driedfruit,25.1,2
MI304,frenchfries,90.3,1
MI304,frenchfries,95.0,2
MI304,nuts,90.1,1
MI304,nuts,95.0,2
MI304,potatochips,85.0,1
MI304,potatochips,79.9,2
MI305,apple,79.8,1
MI305,apple,75.4,2
MI305,celerysticks,20.7,1
MI305,celerysticks,39.0,2
MI305,chocolate,93.8,1
MI305,chocolate,95.8,2
MI305,donut,63.8,1
MI305,donut,40.7,2
MI305,driedfruit,56.2,1
MI305,driedfruit,35.2,2
MI305,frenchfries,96.5,1
MI305,frenchfries,80.3,2
MI305,nuts,54.4,1
MI305,nuts,70.7,2
MI305,potatochips,88.7,1
MI305,potatochips,75.4,2
MI306,apple,80.3,1
MI306,apple,75.0,2
MI306,celerysticks,40.1,1
MI306,celerysticks,19.9,2
MI306,chocolate,97.4,1
MI306,chocolate,80.4,2
MI306,donut,100.0,1
MI306,donut,99.7,2
MI306,driedfruit,75.2,1
MI306,driedfruit,59.8,2
MI306,frenchfries,85.2,1
MI306,frenchfries,79.8,2
MI306,nuts,97.5,1
MI306,nuts,79.9,2
MI306,potatochips,90.1,1
MI306,potatochips,85.0,2
MI307,apple,89.8,1
MI307,apple,85.0,2
MI307,celerysticks,70.1,1
MI307,celerysticks,79.7,2
MI307,chocolate,80.2,1
MI307,chocolate,70.2,2
MI307,donut,65.1,1
MI307,donut,50.2,2
MI307,driedfruit,74.8,1
MI307,driedfruit,74.1,2
