subject_id,item_name,rating,timepoint
s2,orange,87.0,1
s2,plum,51.0,1
s2,blackberry,72.0,1
s2,peach,67.0,1
s2,cherry,73.0,1
s2,raspberry,71.0,1
s2,apple,52.0,1
s2,grape,92.0,1
s2,goldendeliciousapple,52.0,1
s2,honeydewmelon,61.0,1
s2,kiwi,79.0,1
s2,greenbellpepper,3.0,1
s2,carrot,61.0,1
s2,peanuts,97.0,1
s2,almonds,99.0,1
s2,baguette,21.0,1
s2,slicedloafbread,54.0,1
s2,boulebread,59.0,1
s2,ryebread,82.0,1
s2,deliturkey,73.0,1
s2,chickentenders,99.0,1
s2,meatballs,56.0,1
s2,gouda,23.0,1
s2,swisscheese,9.0,1
s2,potatochips,99.0,1
s2,tortillachips,98.0,1
s2,doritos,97.0,1
s2,ritzcracker,65.0,1
s2,saltinecracker,69.0,1
s2,wheatthins,99.0,1
s2,eggrolls,93.0,1
s2,frenchfries,97.0,1
s2,butteredpopcorn,99.0,1
s2,triscuits,97.0,1
s2,wavylays,34.0,1
s2,chocolateicecreamcone,65.0,1
s2,strawberryicecreamcone,63.0,1
s2,vanillasoftservecone,97.0,1
s2,nutrigrainbar,97.0,1
s2,churro,53.0,1
s2,twistdonut,94.0,1
s2,tuilecookie,37.0,1
s2,madeleine,88.0,1
s2,oatmealraisincookie,99.0,1
s2,thumprintcookie,98.0,1
s2,sugarcookie,89.0,1
s2,vanillawafer,93.0,1
s2,chocolatewafer,97.0,1
s2,chocolatebark,99.0,1
s2,darkchocolate,97.0,1
s2,milkchocolate,98.0,1
s2,pocky,94.0,1
s2,toblerone,97.0,1
s2,lindtlindorchocolatetruffle,97.0,1
s2,twix,99.0,1
s2,caramel,51.0,1
s2,peanutmms,98.0,1
s2,brownie,59.0,1
s2,frostedbrownie,59.0,1
s2,lemoncake,21.0,1
s2,orange,99.0,2
s2,plum,96.0,2
s2,blackberry,87.0,2
s2,peach,100.0,2
s2,cherry,94.0,2
s2,raspberry,94.0,2
s2,apple,81.0,2
s2,grape,92.0,2
s2,goldendeliciousapple,88.0,2
s2,honeydewmelon,92.0,2
s2,kiwi,100.0,2
s2,greenbellpepper,11.0,2
s2,carrot,75.0,2
s2,peanuts,94.0,2
s2,almonds,90.0,2
s2,baguette,65.0,2
s2,slicedloafbread,69.0,2
s2,boulebread,65.0,2
s2,ryebread,71.0,2
s2,deliturkey,84.0,2
s2,chickentenders,90.0,2
s2,meatballs,51.0,2
s2,gouda,61.0,2
s2,swisscheese,49.0,2
s2,potatochips,66.0,2
s2,tortillachips,19.0,2
s2,doritos,57.0,2
s2,ritzcracker,20.0,2
s2,saltinecracker,9.0,2
s2,wheatthins,71.0,2
s2,eggrolls,19.0,2
s2,frenchfries,12.0,2
s2,butteredpopcorn,18.0,2
s2,triscuits,50.0,2
s2,wavylays,1.0,2
s2,chocolateicecreamcone,20.0,2
s2,strawberryicecreamcone,10.0,2
s2,vanillasoftservecone,17.0,2
s2,nutrigrainbar,35.0,2
s2,churro,33.0,2
s2,twistdonut,24.0,2
s2,tuilecookie,19.0,2
s2,madeleine,1.0,2
s2,oatmealraisincookie,84.0,2
s2,thumprintcookie,23.0,2
s2,sugarcookie,73.0,2
s2,vanillawafer,65.0,2
s2,chocolatewafer,31.0,2
s2,chocolatebark,65.0,2
s2,darkchocolate,72.0,2
s2,milkchocolate,6.0,2
s2,pocky,20.0,2
s2,toblerone,21.0,2
s2,lindtlindorchocolatetruffle,37.0,2
s2,twix,62.0,2
s2,caramel,5.0,2
s2,peanutmms,24.0,2
s2,brownie,16.0,2
s2,frostedbrownie,11.0,2
s2,lemoncake,18.0,2
s3,orange,67.0,1
s3,plum,52.0,1
s3,blackberry,51.0,1
s3,peach,50.0,1
s3,cherry,69.0,1
s3,raspberry,46.0,1
s3,apple,93.0,1
s3,grape,55.0,1
s3,goldendeliciousapple,98.0,1
s3,honeydewmelon,41.0,1
s3,kiwi,50.0,1
s3,greenbellpepper,75.0,1
s3,carrot,51.0,1
s3,peanuts,45.0,1
s3,almonds,51.0,1
s3,baguette,51.0,1
s3,slicedloafbread,42.0,1
s3,boulebread,49.0,1
s3,ryebread,63.0,1
s3,deliturkey,56.0,1
s3,chickentenders,88.0,1
s3,meatballs,37.0,1
s3,gouda,77.0,1
s3,swisscheese,67.0,1
s3,potatochips,80.0,1
s3,tortillachips,43.0,1
s3,doritos,71.0,1
s3,ritzcracker,64.0,1
s3,saltinecracker,50.0,1
s3,wheatthins,50.0,1
s3,eggrolls,41.0,1
s3,frenchfries,74.0,1
s3,butteredpopcorn,38.0,1
s3,triscuits,50.0,1
s3,wavylays,100.0,1
s3,chocolateicecreamcone,84.0,1
s3,strawberryicecreamcone,51.0,1
s3,vanillasoftservecone,40.0,1
s3,nutrigrainbar,83.0,1
s3,churro,60.0,1
s3,twistdonut,92.0,1
s3,tuilecookie,82.0,1
s3,madeleine,34.0,1
s3,oatmealraisincookie,100.0,1
s3,thumprintcookie,50.0,1
s3,sugarcookie,51.0,1
s3,vanillawafer,66.0,1
s3,chocolatewafer,69.0,1
s3,chocolatebark,55.0,1
s3,darkchocolate,71.0,1
s3,milkchocolate,77.0,1
s3,pocky,39.0,1
s3,toblerone,71.0,1
s3,lindtlindorchocolatetruffle,58.0,1
s3,twix,73.0,1
s3,caramel,69.0,1
s3,peanutmms,100.0,1
s3,brownie,100.0,1
s3,frostedbrownie,100.0,1
s3,lemoncake,52.0,1
s3,orange,62.0,2
s3,plum,50.0,2
s3,blackberry,34.0,2
s3,peach,50.0,2
s3,cherry,51.0,2
s3,raspberry,30.0,2
s3,apple,73.0,2
s3,grape,61.0,2
s3,goldendeliciousapple,82.0,2
s3,honeydewmelon,51.0,2
s3,kiwi,54.0,2
s3,greenbellpepper,71.0,2
s3,carrot,60.0,2
s3,peanuts,25.0,2
s3,almonds,40.0,2
s3,baguette,63.0,2
s3,slicedloafbread,68.0,2
s3,boulebread,52.0,2
s3,ryebread,37.0,2
s3,deliturkey,51.0,2
s3,chickentenders,43.0,2
s3,meatballs,37.0,2
s3,gouda,36.0,2
s3,swisscheese,50.0,2
s3,potatochips,92.0,2
s3,tortillachips,40.0,2
s3,doritos,43.0,2
s3,ritzcracker,75.0,2
s3,saltinecracker,51.0,2
s3,wheatthins,45.0,2
s3,eggrolls,50.0,2
s3,frenchfries,34.0,2
s3,butteredpopcorn,40.0,2
s3,triscuits,36.0,2
s3,wavylays,63.0,2
s3,chocolateicecreamcone,49.0,2
s3,strawberryicecreamcone,25.0,2
s3,vanillasoftservecone,28.0,2
s3,nutrigrainbar,88.0,2
s3,churro,35.0,2
s3,twistdonut,67.0,2
s3,tuilecookie,51.0,2
s3,madeleine,35.0,2
s3,oatmealraisincookie,65.0,2
s3,thumprintcookie,23.0,2
s3,sugarcookie,32.0,2
s3,vanillawafer,32.0,2
s3,chocolatewafer,68.0,2
s3,chocolatebark,40.0,2
s3,darkchocolate,50.0,2
s3,milkchocolate,72.0,2
s3,pocky,32.0,2
s3,toblerone,39.0,2
s3,lindtlindorchocolatetruffle,66.0,2
s3,twix,69.0,2
s3,caramel,58.0,2
s3,peanutmms,51.0,2
s3,brownie,93.0,2
s3,frostedbrownie,96.0,2
s3,lemoncake,36.0,2
s4,orange,95.0,1
s4,plum,96.0,1
s4,blackberry,91.0,1
s4,peach,97.0,1
s4,cherry,100.0,1
s4,raspberry,97.0,1
s4,apple,96.0,1
s4,grape,100.0,1
s4,goldendeliciousapple,92.0,1
s4,honeydewmelon,1.0,1
s4,kiwi,98.0,1
s4,greenbellpepper,42.0,1
