subject_id,item_name,rating
1,100grand,1
1,3musketeers,0.72
1,airheadsblueraspberry,1.27
1,airheadscherry,1.02
1,airheadswatermelon,1.49
1,babyruth,0.28
1,blowpopcherry,1.49
1,blowpopsourapple,0.76
1,blowpopwatermelon,1.73
1,bunchacrunch,0.2
1,butterfingerbites,0.99
1,caramelapplepops,0.52
1,cheesepeanutbuttercrackers,0.13
1,cheetospuffs,1.49
1,cheezit,0.01
1,cheezitwhitecheddar,0.74
1,chexmixcheddar,0.48
1,chexmixtraditional,1.49
1,combospizzeria,1.71
1,crunch,0.78
1,doritoscoolranch,0.74
1,doritosnachocheese,0.98
1,doritospicychili,1
1,dots,1.74
1,dovecaramelmilkchocolate,1.5
1,dovedarkchocolatebites,1.02
1,famousamos,1.49
1,fritos,2.01
1,funyuns,0.99
1,ghirardellicaramelsquares,0.03
1,gobstoppers,0.25
1,grandmaspeanutbuttercookies,1.49
1,gummywormssour,2.49
1,heathbar,1
1,hostesschocolatedonuts,1.98
1,hostesscupcakes,0.78
1,hostesspowdereddonut,1
1,juniorcaramels,1
1,keeblerrainbowcookies,0.1
1,kettlebbqchips,0.99
1,kettlejalapenochips,0.97
1,kettlesaltpepperchips,1.25
1,kettlesaltvinegarchips,0.98
1,kitkat,1.98
1,laffytaffysourapple,1.51
1,layscheesygarlicbread,0.52
1,laysclassic,0.76
1,layssourcreamandonion,0.52
1,lifesaversgummies,1.02
1,lifesaversgummiessours,0.21
1,lindtdarkchocolate,1.73
1,lindtmilkchocolate,1.24
1,mmsmilkchocolate,0.43
1,mmsmint,0.52
1,mmspretzel,0.72
1,mentosrainbow,1.98
1,milkduds,1.51
1,munchiesjalapenocheddar,1.77
1,munchiesnachocheese,1.01
1,munchiespeanutbutter,1
1,nerdsrope,1.28
1,oreos,2.02
1,oreosgolden,1.98
1,pez,1.01
1,popcornersjalapeno,0.99
1,popcornwhitecheddar,0.24
1,pringlescheddar,0.04
1,pringlesoriginal,0.27
1,pringlessourcreamonion,1.51
1,raisinetsmilkchocolate,1.49
1,razzles,0.2
1,reesesbigcup,2
1,ritzbitscheese,0.51
1,ritzbitspeanutbutter,0.52
1,skittles,1.49
1,skittlessours,1
1,skittlestropical,2.01
1,skittlewildberry,1.28
1,snydershoneymustardonionnibblerpretzels,1.49
1,snydersminipretzels,0.51
1,snydersoriginalnibblers,0.99
1,sourpatchkids,0.47
1,sourpunchstrawsapple,0.05
1,spree,1.75
1,starburst,0.24
1,sunchipscheddar,0.5
1,sunchipsoriginal,1.49
1,swedishfish,1.27
1,swedishfishassorted,2.18
1,take5,0.5
1,toblerone,1.03
1,trailmix,0.5
1,twizzlersstrawberry,0.28
1,warheads,1.26
1,whoppers,2.27
1,yorkpeppermintpatty,2.02
2,100grand,0.49
2,airheadsblueraspberry,0.23
2,airheadsgreenapple,1
2,airheadswatermelon,3.01
2,almondjoy,2.99
2,babyruth,1.99
2,blowpopblueraspberry,2.48
2,blowpopwatermelon,1
2,caramelapplepops,0.99
2,cheesepeanutbuttercrackers,3.26
2,cheetospuffs,0.23
2,cheezitwhitecheddar,1.5
2,chexmixtraditional,1
2,comboscheddar,2
2,combospizzeria,1.5
2,doritospicychili,3.01
2,dovecaramelmilkchocolate,0.77
2,dovedarkchocolatebites,0.99
2,dovemilkpeanutbutterbites,0.74
2,famousamos,0.78
2,fritosbbq,0.98
2,funyuns,2.99
2,ghirardellicaramelsquares,1.22
