image_id,food_pics_description_english,item_name
1,cheesecake with cherry topping,cheesecakewithcherrytopping
2,Hamburger with bacon,hamburgerwithbacon
3,"cheese burger, french fries and cola",cheeseburgerfrenchfriesandcola
4,chocolate cookie,chocolatecookie
5,cookie mix,cookiemix
6,cheese cake with strawberries and crumbles,cheesecakewithstrawberriesandcrumbles
7,croissants,croissants
8,snack mix,snackmix
9,waffles,waffles
10,Spaghetti with tomato sauce,spaghettiwithtomatosauce
11,cheese and cold meat platter,cheeseandcoldmeatplatter
12,ham sandwich,hamsandwich
13,Frankfurt crown cake,frankfurtcrowncake
14,muffin,muffin
15,croissants,croissants
16,pancakes,pancakes
17,"cheese burger, french fries and cola",cheeseburgerfrenchfriesandcola
18,German krapfen,germankrapfen
19,German krapfen,germankrapfen
20,German krapfen,germankrapfen
21,raspberry candies,raspberrycandies
22,french fries,frenchfries
23,ham sandwich,hamsandwich
24,ice cream sandwiches,icecreamsandwiches
25,ice cream with chocolate beans,icecreamwithchocolatebeans
26,chips,chips
27,opened chips bag,openedchipsbag
28,fruit cake,fruitcake
29,cake (with gelatinized fruits),cakewithgelatinizedfruits
30,"french fries, chicken",frenchfrieschicken
31,cookies (mixed),cookiesmixed
32,pizza (with mushrooms),pizzawithmushrooms
33,spaghetti with tomato sauce,spaghettiwithtomatosauce
34,ham and cheese sandwich,hamandcheesesandwich
35,Raffaelo (coconut wafer balls),raffaelococonutwaferballs
36,some different cake wedges,somedifferentcakewedges
37,pasta meal,pastameal
38,chocolate and strawberry ice cream,chocolateandstrawberryicecream
39,cake with tangerines,cakewithtangerines
40,pastries,pastries
41,Donut with chocolate sprinkles,donutwithchocolatesprinkles
42,chocolate cake with nuts,chocolatecakewithnuts
43,chips,chips
44,cookie (filled with jelly),cookiefilledwithjelly
45,Hamburger,hamburger
46,french fries,frenchfries
47,french fries and chicken drumsticks,frenchfriesandchickendrumsticks
48,chocolate muffin,chocolatemuffin
49,chocolate popsicles,chocolatepopsicles
50,donuts and pastries,donutsandpastries
51,cake with powdered sugar,cakewithpowderedsugar
52,hot dog,hotdog
53,hot dog,hotdog
54,cheese platter,cheeseplatter
55,raspberry cake,raspberrycake
56,chocolate and vanilla ice cream,chocolateandvanillaicecream
57,ham sandwich with chips,hamsandwichwithchips
58,ham sandwich,hamsandwich
59,apple pie,applepie
60,french fries,frenchfries
61,pizza (salami),pizzasalami
62,challah (braided yeast bun),challahbraidedyeastbun
63,pretzels,pretzels
64,butter,butter
65,cheese burger,cheeseburger
66,croissants,croissants
67,ice cream,icecream
68,doner kebab,donerkebab
69,fish sandwich,fishsandwich
70,cheese,cheese
71,cheese platter,cheeseplatter
72,sandwich roastbeef,sandwichroastbeef
73,Spaghetti Bolognese,spaghettibolognese
74,chocolate cake,chocolatecake
75,ham sandwich,hamsandwich
76,spaghetti with tomato sauce,spaghettiwithtomatosauce
77,ham sandwich with chips,hamsandwichwithchips
78,muffins,muffins
79,chocolate cookie,chocolatecookie
80,chocolate muffin,chocolatemuffin
81,pizza slices (assorted),pizzaslicesassorted
82,cheese platter,cheeseplatter
83,filled chocolates,filledchocolates
84,cake,cake
85,Pizza (with salami),pizzawithsalami
86,"cheese burger, french fries",cheeseburgerfrenchfries
87,cheese burger,cheeseburger
88,stracciatella cake,stracciatellacake
89,strawberry cake,strawberrycake
90,muffins,muffins
91,cheese burger,cheeseburger
92,cheddar cheese,cheddarcheese
93,muffins,muffins
94,jelly candies,jellycandies
95,raspberry cake,raspberrycake
96,cake (gugelhupf),cakegugelhupf
97,chocolate cake,chocolatecake
98,cheese platter,cheeseplatter
99,cake,cake
100,chocolate cake,chocolatecake
101,Donut (chocolate),donutchocolate
102,hard candies,hardcandies
103,raspberry cake,raspberrycake
104,tortilla chips,tortillachips
105,filled waffles,filledwaffles
106,Sacher cake,sachercake
107,chocolate cake,chocolatecake
108,pizza (ham and mushrooms),pizzahamandmushrooms
109,peanuts,peanuts
110,Nuts (cashews),nutscashews
111,bar of chocolate with nuts,barofchocolatewithnuts
112,opened bar of chocolate with nuts,openedbarofchocolatewithnuts
113,chips,chips
114,croissants,croissants
115,sundae (with raspberries),sundaewithraspberries
116,chocolate popsicle with nuts,chocolatepopsiclewithnuts
117,chips,chips
118,sundae (peach),sundaepeach
119,donut,donut
120,croissants,croissants
121,filled cookie with walnut,filledcookiewithwalnut
122,cake,cake
123,lollipops,lollipops
124,lollipops,lollipops
125,hard candies,hardcandies
126,pastries and donuts,pastriesanddonuts
127,Sacher cake,sachercake
128,hard candies,hardcandies
129,christmas sweets,christmassweets
130,cake,cake
131,pizza (veggie/cheese),pizzaveggiecheese
132,cheese,cheese
133,strawberry cake,strawberrycake
134,chocolate muffin,chocolatemuffin
135,cake,cake
136,cake,cake
137,chocolate muffin,chocolatemuffin
138,muffin with green topping,muffinwithgreentopping
139,cake,cake
140,chocolate popsicle with nuts,chocolatepopsiclewithnuts
141,lasagna,lasagna
142,pasta bake,pastabake
143,pasta bake,pastabake
144,pasta bake,pastabake
145,lasagna,lasagna
146,cheese cake,cheesecake
147,marshmallows (flat),marshmallowsflat
148,round shortbread cookies,roundshortbreadcookies
149,NicNac (crusty peanuts),nicnaccrustypeanuts
150,popcorn,popcorn
151,lemon cake,lemoncake
152,peanut puffs,peanutpuffs
153,gummi candy (cola),gummicandycola
154,gummi candy and licorice mix,gummicandyandlicoricemix
155,crackers,crackers
156,challah (braided yeast bun) with raisins,challahbraidedyeastbunwithraisins
157,gummi candy (gold bears),gummicandygoldbears
158,cookies filled with chocolate cream,cookiesfilledwithchocolatecream
159,mini chocolate cake bar,minichocolatecakebar
160,nuts covered in chocolate,nutscoveredinchocolate
161,mini chocolate marshmallows,minichocolatemarshmallows
162,chocolate cream cake,chocolatecreamcake
163,chocolate cake,chocolatecake
164,mini cookies with chocolate on one side,minicookieswithchocolateononeside
165,cornflakes and almonds covered in chocolate,cornflakesandalmondscoveredinchocolate
166,chocolate marshmallows,chocolatemarshmallows
167,some bars of chocolate (stacked),somebarsofchocolatestacked
168,puffed rice covered in chocolate,puffedricecoveredinchocolate
169,donut (chocolate topping),donutchocolatetopping
170,chocolate bar filled with strawberry and yogurt cream,chocolatebarfilledwithstrawberryandyogurtcream
171,jaffa cookies,jaffacookies
172,Toffifay (filled caramel cup),toffifayfilledcaramelcup
173,chocolate bar filled with milk cream,chocolatebarfilledwithmilkcream
174,chocolate pieces,chocolatepieces
175,brie cheese,briecheese
176,salami sausage,salamisausage
177,cookies filled with chocolate cream,cookiesfilledwithchocolatecream
178,German krapfen,germankrapfen
179,marble cake,marblecake
180,muesli bar (oatmeal),mueslibaroatmeal
181,bowl of muesli (granola),bowlofmuesligranola
182,bowl of rice,bowlofrice
183,peanuts,peanuts
184,chocolate croissants,chocolatecroissants
185,sausages (frankfurter),sausagesfrankfurter
186,pretzel sticks,pretzelsticks
