subject_id,item_name,rating
sub-001,muffinwithgreentopping,4
sub-001,camembert,3
sub-001,toastwithjam,4
sub-001,watermelon,4
sub-001,ravioli,3
sub-001,cookies,3
sub-001,hardcandies,2
sub-001,chocolatebarfilledwithstrawberryandyogurtcream,3
sub-001,spaghetti,2
sub-001,zucchini,1
sub-001,pastawithbacon,3
sub-001,cucumberwithslices,1
sub-001,honeydewmelon,1
sub-001,fishwithvegetablesgrilled,2
sub-001,strawberries,4
sub-001,chocolateandstrawberryicecream,3
sub-001,blackberry,3
sub-001,blackberries,3
sub-001,rigatoniwithvegetable,2
sub-001,hamsandwich,3
sub-001,toffifayfilledcaramelcup,3
sub-001,apple,4
sub-001,doughnutdonutjam,3
sub-001,cheeseplatter,1
sub-001,tomato,2
sub-001,spinach,1
sub-001,sugarsnappea,1
sub-001,cookiesoreos,3
sub-001,bloodoranges,3
sub-001,rollsinabasket,3
sub-001,apples,4
sub-001,bowlofrice,4
sub-001,pastabake,2
sub-001,raspberrycake,3
sub-001,spareribswithfrenchfriesandsalad,2
sub-001,redchilli,1
sub-001,fishsticks,2
sub-001,chocolatecake,3
sub-001,mixedsalad,2
sub-001,cornonacob,3
sub-001,glassofredwine,1
sub-001,glassoforangejuice,3
sub-001,spaghettiwithtomatosauce,2
sub-001,pastabake,2
sub-001,puffedricecoveredinchocolate,2
sub-001,winegum,2
sub-001,peanuts,3
sub-001,minichocolatemarshmallows,2
sub-001,gummicandycola,3
sub-001,pickles,1
sub-001,hotdog,3
sub-001,kitkatchocolatewaferbars,3
sub-001,redpaprikapeppers,1
sub-001,redgrapes,4
sub-001,celery,1
sub-001,pear,2
sub-001,banana,3
sub-001,potatoes,1
sub-001,parsley,1
sub-001,cheese,2
sub-001,pralines,4
sub-001,gummicandygoldbears,3
sub-001,mixedvegetables,1
sub-001,cheese,1
sub-001,greenchili,1
sub-001,headofgreenlettuce,1
sub-001,icecreamsandwiches,3
sub-001,filledroulade,1
sub-001,spaghettiwithtomatosauce,2
sub-001,fennel,1
sub-001,beansandcarrotscooked,1
sub-001,fishsandwich,2
sub-001,vanillaicecream,4
sub-001,cornmaize,2
sub-001,loafofbread,3
sub-001,beefsteakraw,2
sub-001,veggiemixcucumbertomatopeppers,1
sub-001,cantaloup,4
sub-001,chocolatebiscuit,3
sub-001,salmonsushi,4
sub-001,crispbread,2
sub-001,cookedham,2
sub-001,peanuts,2
sub-001,icecream,3
sub-001,cakewithpowderedsugar,3
sub-001,tunasandwiches,2
sub-001,pretzelsticks,3
sub-001,artichoke,1
sub-001,chocolatecookie,3
sub-001,wildberriesmix,3
sub-001,raspberrycandies,2
sub-001,cake,3
sub-001,pastries,3
sub-001,crispbread,2
sub-001,cakegugelhupf,3
sub-001,cookiesfilledwithchocolatecream,3
sub-001,pastabake,2
sub-001,salamisausage,1
sub-001,muffin,3
sub-001,fruitmixnectarinesraspberriescherries,4
sub-001,crispbreadwithcookedham,1
sub-001,raspberrycreamcake,3
sub-001,mmspeanut,3
sub-001,pizzaveggiecheese,2
sub-001,tagliatelle,1
sub-001,chocolatemuffin,3
sub-001,doughnutdonutplain,4
sub-001,waterbottle,3
sub-001,vienneseschnitzel,3
sub-001,salmonwithvegetablesgrilled,2
sub-001,meatballspatties,2
sub-001,chocolatepopsiclewithnuts,3
sub-001,mixedsalad,2
sub-001,spaghettibolognese,2
sub-001,roastedchicken,3
sub-001,mixedvegetables,1
sub-001,saladplate,2
sub-001,baguette,3
sub-001,salamiroastedhamandcheese,2
sub-001,watermelon,2
sub-001,cutlet,3
sub-001,tomatoes,3
sub-001,hotdog,3
sub-001,cauliflower,1
sub-001,papaya,2
sub-001,strawberrycreamcake,3
sub-001,pineapple,3
sub-001,tomatoandmozzarellaskewer,2
sub-001,cheese,2
sub-001,frenchfries,4
sub-001,bowlofsalad,2
sub-001,barofchocolate,4
sub-001,carrots,1
sub-001,cheeseandcoldmeatplatter,1
sub-001,cake,3
sub-001,gummibearswithextrasugar,3
sub-001,chocolatepopsicles,3
sub-001,chinesecabbage,1
sub-001,breads,3
sub-001,chocolatecookies,2
sub-001,grapewhites,4
sub-001,shashlik,3
sub-001,pizzawithsalami,3
sub-001,oranges,3
sub-001,mandarins,4
sub-001,fruitsalad,3
sub-001,cornflakesandalmondscoveredinchocolate,2
sub-001,blueberries,3
sub-001,tortillachips,2
sub-001,troutwithpotatoespanfried,3
sub-001,roastbeef,3
sub-001,germankrapfen,3
sub-001,strawberries,4
sub-001,cake,2
sub-001,cherries,3
sub-001,veggiemixwithdip,1
sub-001,arugula,1
sub-001,roulade,2
sub-001,grapeswhite,3
sub-001,chocolatecandybar,3
sub-001,apples,3
sub-001,peanuts,2
sub-001,banana,4
sub-001,applepie,2
sub-001,cookiefilledwithjelly,2
sub-001,fruits,3
sub-001,greenonionshallot,1
sub-001,creamcakewithfruits,3
sub-001,pancakeswithblueberries,2
sub-001,roastbeef,4
sub-001,croissants,3
sub-001,chickenfilletsgrilled,2
sub-001,icecreamwithchocolatebeans,3
sub-001,cheeseburgerfrenchfriesandcola,3
sub-001,saladplate,2
sub-001,shashlikwithbakedpotato,2
sub-001,pancakes,4
sub-001,cheesecakewithstrawberriesandcrumbles,3
sub-001,pineapple,3
sub-001,asparaguswithbechamelsauce,1
sub-001,pears,2
sub-001,hamsandwich,2
sub-001,kiwis,3
sub-001,germankrapfen,2
sub-001,marshmallowsflat,2
sub-001,potatoewedges,2
sub-001,emmentalercheese,1
sub-001,sushirolls,1
sub-001,chocolatebarfilledwithmilkcream,3
sub-001,kiwi,3
sub-001,steakwithbackedpotatoandvegetables,4
sub-001,radishes,1
sub-001,nutscoveredinchocolate,2
sub-001,redcabbage,1
sub-001,waffle,3
sub-001,croissants,3
sub-001,cheeseburger,3
sub-001,cucumberslice,1
sub-001,crispbreadwithcottagecheese,1
sub-001,kohlrabi,1
sub-001,frenchfrieschicken,3
sub-001,waffles,3
sub-001,carrots,1
sub-001,briecheese,2
sub-001,hamsandwich,2
sub-001,gherkin,4
sub-001,hamsandwich,2
sub-001,redcurrants,2
sub-001,banana,3
sub-001,gherkinsliced,1
sub-001,appledanish,3
sub-001,curdwithchives,2
sub-001,frenchtoast,3
sub-001,nutscashews,2
sub-001,paprikapeppersredyelloworange,2
sub-001,potatoesandcorn,1
sub-001,papaya,2
sub-001,saladplate,2
sub-001,cake,3
sub-001,raspberries,3
sub-001,glassofbeer,1
sub-001,greenapple,3
sub-001,grapesred,4
sub-001,crackers,3
sub-001,lattemacchiato,2
sub-001,frankfurtcrowncake,3
sub-001,chocolatemuffin,3
sub-001,carrots,1
sub-001,leek,1
sub-001,mixedvegetablescooked,1
sub-001,chocolatetruffle,2
sub-001,oranges,4
sub-001,cheesecake,2
sub-001,sundaewithraspberries,4
sub-001,openedbarofchocolatewithnuts,3
sub-001,roastpork,3
sub-001,minichocolatecakebar,3
sub-001,doughnutdonutchocolate,2
sub-001,burgerpattywithfrenchfriesandsalad,3
sub-001,cherries,4
sub-001,sachercake,3
sub-001,salmon,2
sub-001,meatpie,2
sub-001,coloredchocolatebeans,3
sub-001,chocolatecookie,3
sub-001,gardenradish,1
sub-001,cheeseburger,4
sub-001,oranges,4
sub-001,shrimp,3
sub-001,lollipops,3
sub-001,liversausage,2
sub-001,tortellini,2
sub-001,carrotscooked,2
sub-001,paprikapeppersredgreenyellow,1
sub-001,quiche,2
sub-001,peascornandpotatos,1
sub-001,muffins,3
sub-001,donutchocolate,3
sub-001,filledchocolates,3
sub-001,asparagus,1
sub-001,chocolatebar,2
sub-001,sundaepeach,4
sub-001,blueberries,3
sub-001,lemons,2
sub-001,challahbraidedyeastbun,3
sub-001,chocolatepopsiclewithnuts,3
sub-001,chocolatecroissants,2
sub-001,cookiesfilledwithchocolatecream,3
sub-001,plateofsalad,2
sub-001,edamcheese,1
sub-001,strawberryhalf,3
sub-001,vegetables,2
sub-001,pretzels,4
sub-001,frenchfries,2
sub-001,gardenradish,1
sub-001,headofcabbage,1
sub-001,cheeseburger,3
sub-001,toblerone,3
sub-001,vienneseschnitzelwithpotatoes,2
sub-001,raffaelococonutwaferballs,1
sub-001,potatoes,2
sub-001,yellowbellpepper,2
sub-001,peaches,2
sub-001,chocolatebarbroken,2
sub-001,eclair,3
sub-001,cheeseplatter,2
