subject_id,item_name,rating
1,reesespieces,2.72
1,gobstoppers,3.47
1,chipsahoy,6.79
1,dovedarkchocolatebites,4.74
1,heathbar,4.47
1,laffytaffysourapple,4.67
1,popcornwhitecheddar,3.12
1,yorkpeppermintpatty,3.39
1,grandmaschocolatechipcookies,6.69
1,oreosgolden,6.26
1,mikeikezours,4.37
1,3musketeers,6.29
1,munchiesnachocheese,4.52
1,warheads,7.63
1,giantsweetarts,5.88
1,caramelapplepops,0.49
1,hostesspowdereddonut,5.29
1,hostesschocolatedonuts,5.61
1,keeblerfudgestripes,4.38
1,mmspeanuts,6.58
1,laysclassic,7.34
1,blowpopwatermelon,5.41
1,doritosnachocheese,5.36
1,ghirardellimilkchocolatesquares,5.45
1,goldfishcheddar,2.24
1,mmsmint,3.3
1,snickersalmond,5.81
1,lifesaversgummies,7.31
1,nerdsstrawberrygrape,7.48
1,skittlessours,7.55
1,trailmix,4.22
1,cheezitwhitecheddar,1.33
1,blowpopcherry,0.33
1,snyderspretzelsticks,4.31
1,ritzbitscheese,5.66
1,kitkat,5.48
1,snickersdarkchocolate,7.1
1,reesespeanutbuttercup,4.6
1,sunchipsoriginal,1.52
1,starbursttropical,2.66
1,milkduds,3.66
1,mentosrainbow,3.43
1,sourpunchstrawsapple,4.5
1,slimjim,9.69
1,airheadsblueraspberry,3.44
1,layscheesygarlicbread,6.41
1,snickers,5.13
1,lindtmilkchocolate,6.51
1,toblerone,4.67
1,runts,0.52
1,butterfingerbites,6.75
1,ghirardellicaramelsquares,7.42
1,dovemilkpeanutbutterbites,7.58
1,popcornersjalapeno,2.5
1,sunchipsgardensalsa,2.89
1,layssourcreamandonion,8.24
1,razzles,7.31
1,goobers,0.29
1,blowpopsourapple,0.2
1,reesesbigcup,0.17
1,popcornerswhitecheddar,0.48
1,airheadswatermelon,8.6
1,roldgoldtinytwistpretzels,5.41
1,shockers,5.8
1,combospizzeria,4.99
1,popcornerskettle,8.33
1,snickerspeanutbutter,6.72
1,take5,9.16
1,blowpopblueraspberry,7.74
1,chexmixtraditional,7.32
1,cheezit,5.84
1,100grand,1.56
1,kettlesaltvinegarchips,2.59
1,cheetospuffs,6.15
1,kettlesaltpepperchips,0.56
1,munchiesjalapenocheddar,6.56
1,nerdsrope,6.16
